2427000,33.0
1779000,16.0
2787000,6.0
975000,3.0
2271000,7.0
1939000,7.0
1899000,7.0
1251000,3.0
1699000,16.0
2407000,16.0
2347000,18.0
2527000,6.0
1291000,6.0
2307000,11.0
2907000,1.0
2031000,37.0
1411000,13.0
935000,2.0
2627000,33.0
2111000,43.0
2227000,5.0
2127000,14.0
2391000,2.0
1859000,13.0
2467000,36.0
3036000,1.0
509000,1.0
2247000,31.0
2447000,13.0
2707000,14.0
2547000,42.0
1015000,4.0
2667000,24.0
2387000,26.0
2287000,25.0
1331000,10.0
2311000,5.0
2587000,34.0
1451000,13.0
1659000,19.0
2207000,19.0
1819000,22.0
2191000,22.0
2047000,1.0
2231000,13.0
2007000,2.0
1499000,2.0
2151000,18.0
2507000,44.0
2267000,4.0
1951000,23.0
2019000,2.0
1911000,17.0
2747000,12.0
1991000,40.0
1579000,7.0
2327000,31.0
2487000,3.0
1739000,33.0
2071000,31.0
1371000,9.0
1095000,2.0
2087000,6.0
1619000,13.0
1531000,9.0
1211000,1.0
2367000,20.0
1831000,6.0
1491000,4.0
2351000,2.0
2167000,15.0
1611000,2.0
2827000,4.0
1871000,12.0
1791000,3.0
