2007000,6.0
935000,16.0
1371000,100.0
2467000,50.0
2327000,77.0
1331000,90.0
2267000,14.0
1939000,3.0
2227000,5.0
1571000,4.0
895000,6.0
2151000,49.0
1751000,2.0
2187000,1.0
2047000,19.0
1411000,82.0
2307000,28.0
1871000,70.0
2507000,41.0
1015000,24.0
2191000,17.0
1859000,48.0
2087000,42.0
1911000,110.0
2407000,23.0
2487000,1.0
1791000,11.0
2587000,14.0
2387000,50.0
1899000,18.0
1739000,140.0
2111000,88.0
2127000,68.0
1779000,112.0
1451000,54.0
1967000,1.0
1211000,4.0
2367000,50.0
2247000,105.0
1659000,138.0
1135000,1.0
2167000,92.0
1491000,30.0
509000,1.0
1291000,55.0
1531000,14.0
2071000,118.0
2667000,1.0
975000,25.0
1831000,33.0
1499000,3.0
2547000,27.0
1819000,81.0
2287000,96.0
2427000,53.0
2207000,104.0
1095000,5.0
2347000,41.0
2627000,5.0
1055000,14.0
1579000,47.0
1251000,21.0
1619000,95.0
1951000,138.0
1699000,153.0
2447000,7.0
2231000,3.0
1991000,147.0
1539000,16.0
2031000,138.0
